symbol,name,cik,industry,sector,market_cap,country,website
MMM,3M Company,66740,Conglomerates,Industrials,69654536192,United States,https://www.3m.com
AOS,A. O. Smith Corporation,91142,Specialty Industrial Machinery,Industrials,11208184832,United States,https://www.aosmith.com
ABT,Abbott Laboratories,1800,Medical Devices,Healthcare,203585732608,United States,https://www.abbott.com
ABBV,AbbVie Inc.,1551152,Drug Manufacturers - General,Healthcare,331861458944,United States,https://www.abbvie.com
ACN,Accenture plc,1467373,Information Technology Services,Technology,231590297600,Ireland,https://www.accenture.com
ADBE,Adobe Inc.,796343,Software - Infrastructure,Technology,213510144000,United States,https://www.adobe.com
AMD,"Advanced Micro Devices, Inc.",2488,Semiconductors,Technology,252855123968,United States,https://www.amd.com
AES,The AES Corporation,874761,Utilities - Diversified,Utilities,12142578688,United States,https://www.aes.com
AFL,Aflac Incorporated,4977,Insurance - Life,Financial Services,62801367040,United States,https://www.aflac.com
A,"Agilent Technologies, Inc.",1090872,Diagnostics & Research,Healthcare,38223265792,United States,https://www.agilent.com
APD,"Air Products and Chemicals, Inc.",2969,Specialty Chemicals,Basic Materials,72612233216,United States,https://www.airproducts.com
ABNB,"Airbnb, Inc.",1559720,Travel Services,Consumer Cyclical,83429367808,United States,https://www.airbnb.com
AKAM,"Akamai Technologies, Inc.",1086222,Software - Infrastructure,Technology,15564700672,United States,https://www.akamai.com
ALB,Albemarle Corporation,915913,Specialty Chemicals,Basic Materials,11043437568,United States,https://www.albemarle.com
ARE,"Alexandria Real Estate Equities, Inc.",1035443,REIT - Office,Real Estate,20954019840,United States,https://www.are.com
ALGN,"Align Technology, Inc.",1097149,Medical Instruments & Supplies,Healthcare,16381075456,United States,https://www.aligntech.com
ALLE,Allegion plc,1579241,Security & Protection Services,Industrials,13144140800,Ireland,https://www.allegion.com
LNT,Alliant Energy Corporation,352541,Utilities - Regulated Electric,Utilities,15882478592,United States,https://www.alliantenergy.com
ALL,The Allstate Corporation,899051,Insurance - Property & Casualty,Financial Services,50901696512,United States,https://www.allstate.com
GOOGL,Alphabet Inc.,1652044,Internet Content & Information,Communication Services,2013319135232,United States,https://abc.xyz
GOOG,Alphabet Inc.,1652044,Internet Content & Information,Communication Services,2013315072000,United States,https://abc.xyz
MO,"Altria Group, Inc.",764180,Tobacco,Consumer Defensive,84969799680,United States,https://www.altria.com
AMZN,"Amazon.com, Inc.",1018724,Internet Retail,Consumer Cyclical,1971388547072,United States,https://www.aboutamazon.com
AMCR,Amcor plc,1748790,Packaging & Containers,Consumer Cyclical,15956598784,Switzerland,https://www.amcor.com
AEE,Ameren Corporation,1002910,Utilities - Regulated Electric,Utilities,23800035328,United States,https://www.amereninvestors.com
AAL,American Airlines Group Inc.,6201,Airlines,Industrials,8641272832,United States,https://www.aa.com
